region_id,state_size_rank,state_name,state,2000_avg_value,2001_avg_value,2002_avg_value,2003_avg_value,2004_avg_value,2005_avg_value,2006_avg_value,2007_avg_value,2008_avg_value,2009_avg_value,2010_avg_value,2011_avg_value,2012_avg_value,2013_avg_value,2014_avg_value,2015_avg_value,2016_avg_value,2017_avg_value,2018_avg_value,2019_avg_value,2020_avg_value,2021_avg_value,2022_avg_value
9,1,California,CA,215870 ,247429 ,276594 ,323546 ,395336 ,483329 ,531073 ,512528 ,413572 ,333847 ,335735 ,317427 ,313329 ,376970 ,424573 ,447346 ,478913 ,510988 ,552647,560303,583776,701593,777810
54,2,Texas,TX,115017 ,116686 ,119446 ,122981 ,130370 ,136163 ,140604 ,146008 ,146066 ,142397 ,142090 ,136831 ,137948 ,145422 ,156724 ,169162 ,180653 ,192462 ,203910,213503,220387,255245,291158
43,3,New York,NY,143910 ,154443 ,167934 ,185063 ,204127 ,226470 ,245976 ,249457 ,247306 ,234160 ,231422 ,225156 ,221104 ,225091 ,231517 ,235249 ,241447 ,252030 ,264816,276655,284287,326714,353955
14,4,Florida,FL,123630 ,133595 ,146693 ,162964 ,185326 ,229466 ,281747 ,271001 ,224186 ,177235 ,164328 ,147097 ,146612 ,163664 ,183335 ,195632 ,212092 ,228820 ,245686,257435,268999,314496,375201
21,5,Illinois,IL,151760 ,163864 ,175949 ,188868 ,203936 ,220942 ,236439 ,238657 ,218245 ,197598 ,186580 ,169411 ,159112 ,164305 ,174977 ,180130 ,186282 ,195585 ,203105,207560,209590,235928,256205
47,6,Pennsylvania,PA,108856 ,114523 ,121321 ,131192 ,143422 ,159495 ,174738 ,180298 ,179507 ,172718 ,172273 ,164358 ,161119 ,162986 ,165842 ,168441 ,172258 ,178996 ,189299,197043,203727,237832,256114
44,7,Ohio,OH,112817 ,117829 ,121614 ,125824 ,130578 ,134630 ,137098 ,135808 ,131418 ,124579 ,122220 ,115360 ,112585 ,114503 ,117078 ,121629 ,126735 ,134389 ,143611,151839,160485,185640,201837
30,8,Michigan,MI,123207 ,131549 ,137402 ,141837 ,147297 ,151611 ,152506 ,145282 ,130262 ,109538 ,102733 ,95246 ,96487 ,107126 ,120123 ,126692 ,134618 ,145965 ,158037,168121,175679,204738,223030
16,9,Georgia,GA,135722 ,145738 ,152640 ,157081 ,161758 ,167966 ,174971 ,179096 ,172754 ,153493 ,144913 ,128900 ,126041 ,135582 ,149224 ,157955 ,167346 ,177052 ,192702,205675,215622,252784,296207
36,10,North Carolina,NC,137832 ,143245 ,146243 ,148961 ,152849 ,158959 ,168900 ,177672 ,179071 ,171305 ,166158 ,157719 ,153726 ,156245 ,161362 ,166094 ,173007 ,183511 ,195612,207313,218641,255615,297707
40,11,New Jersey,NJ,196931 ,217827 ,244247 ,283978 ,322416 ,370256 ,408292 ,403072 ,376514 ,343136 ,334452 ,311190 ,294545 ,298820 ,311504 ,313383 ,316041 ,324472 ,339384,346989,355706,418449,453943
56,12,Virginia,VA,141018 ,152905 ,167021 ,184486 ,213154 ,259635 ,291925 ,290542 ,269769 ,248004 ,244754 ,235636 ,234364 ,242871 ,250538 ,253523 ,258000 ,267438 ,277296,287715,298786,338175,363896
59,13,Washington,WA,182145 ,191164 ,199305 ,208919 ,227851 ,261387 ,308304 ,327348 ,311387 ,275175 ,265162 ,238042 ,229824 ,252635 ,271109 ,291011 ,321534 ,356679 ,394449,409372,439608,534070,607938
26,14,Massachusetts,MA,223777 ,258807 ,293624 ,336008 ,368788 ,402179 ,402172 ,381670 ,358594 ,332763 ,336226 ,323520 ,314991 ,333966 ,352198 ,362088 ,379478 ,400231 ,424088,432476,448565,531262,576969
22,15,Indiana,IN,102873 ,106809 ,108533 ,110270 ,113273 ,120093 ,122507 ,124532 ,124455 ,120893 ,119566 ,115537 ,115336 ,116983 ,120976 ,124718 ,129034 ,136707 ,146528,156127,165110,189943,210568
8,16,Arizona,AZ,142166 ,150161 ,157677 ,166711 ,177040 ,235893 ,290161 ,279176 ,230479 ,176086 ,162753 ,141622 ,152568 ,180815 ,196331 ,205624 ,218409 ,232846 ,250238,264352,288138,367993,424442
